Category,Symbol,Name,Current Price,Currency,Price Change %,Perf % 30M,Perf % 1H,Perf % 4H,Perf % 6H,Perf % 1D,Perf % 1W,Perf % 1M,Perf % 3M,Perf % 6M,Perf % YTD,Perf % 1Y,Perf % 5Y,Perf % 10Y,RSI 1H,RSI 4H,RSI 24H,RSI 1W,RSI 1M,RSI 3M,RSI 6M,RSI YTD,Market Status,Type
Shares,0700,Tencent,489.5,HKD,3.16%,N/A,N/A,N/A,N/A,N/A,10.37%,N/A,3.93%,-12.43%,-21.18%,-10.76%,7.58%,165.17%,70.43,67.46,N/A,71.58,62.16,61.69,61.61,61.61,CLOSED,SHARES
Shares,TTEF,TotalEnergies SE,75.46,EUR,-0.87%,N/A,N/A,N/A,N/A,N/A,1.23%,N/A,-4.66%,20.23%,34.58%,46.65%,100.40%,N/A,49.80,56.84,N/A,51.71,69.21,59.83,59.70,59.70,TRADEABLE,SHARES
Shares,WIZZ,Wizz Air,11.12,GBP,4.51%,N/A,N/A,N/A,N/A,N/A,4.51%,N/A,24.52%,-22.13%,-14.59%,-14.13%,-78.33%,-99.28%,73.69,62.00,N/A,73.60,43.94,52.47,52.47,52.47,TRADEABLE,SHARES
Shares,LHA,Lufthansa,9.285,EUR,2.94%,N/A,N/A,N/A,N/A,N/A,4.38%,N/A,20.19%,2.71%,8.41%,26.15%,1.25%,24.15%,69.90,61.75,N/A,69.55,42.74,55.20,55.41,55.41,TRADEABLE,SHARES
Shares,0522,ASM Pacific,149.9,HKD,-0.79%,N/A,N/A,N/A,N/A,N/A,-6.43%,N/A,-7.70%,N/A,84.83%,122.73%,50.20%,146.14%,54.35,44.14,N/A,54.20,35.80,40.88,40.99,40.98,CLOSED,SHARES
Shares,TW.,Taylor Wimpey,0.813,GBP,2.91%,N/A,N/A,N/A,N/A,N/A,-2.87%,N/A,2.78%,-26.09%,-23.81%,-20.22%,-51.64%,-99.44%,50.80,47.84,N/A,50.29,N/A,N/A,N/A,N/A,TRADEABLE,SHARES
Shares,MCFR,LVMH,482.55,EUR,1.66%,N/A,N/A,N/A,N/A,N/A,3.65%,N/A,7.54%,-9.59%,-24.64%,4.61%,N/A,214.57%,66.44,57.45,N/A,65.92,50.01,51.39,51.48,51.48,TRADEABLE,SHARES
Shares,0857,PetroChina,9.795,HKD,-0.96%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-15.76%,7.17%,15.49%,33.05%,201.29%,87.68%,41.16,50.50,N/A,44.22,63.40,51.71,52.25,52.25,CLOSED,SHARES
Shares,UBSG,UBS Group AG - CH,42.82,CHF,0.59%,N/A,N/A,N/A,N/A,N/A,0.35%,N/A,24.55%,23.47%,N/A,41.98%,183.39%,224.15%,52.47,52.15,N/A,51.88,55.92,59.32,59.33,59.33,TRADEABLE,SHARES
Shares,AML,Aston Martin,0.3508,GBP,-0.40%,N/A,N/A,N/A,N/A,N/A,-0.28%,N/A,-17.24%,-41.32%,-45.43%,-51.22%,-98.22%,N/A,39.06,43.88,N/A,39.13,33.52,38.72,38.65,38.65,TRADEABLE,SHARES
Shares,NESN,Nestle,80.7,CHF,-0.25%,N/A,N/A,N/A,N/A,N/A,0.69%,N/A,4.74%,3.40%,N/A,13.50%,N/A,3.33%,35.76,41.47,N/A,38.66,43.62,44.67,44.64,44.64,TRADEABLE,SHARES
Shares,TSLA,Tesla Inc,313.96,USD,1.36%,N/A,N/A,N/A,N/A,N/A,1.94%,N/A,-18.92%,N/A,-28.57%,1.52%,32.89%,1946.68%,59.38,46.19,N/A,59.33,24.73,33.49,33.24,33.23,TRADEABLE,SHARES
Shares,MU,Micron Technology Inc,822.79,USD,0.47%,N/A,N/A,N/A,N/A,N/A,-6.96%,N/A,21.81%,110.73%,159.11%,665.74%,904.63%,5566.60%,43.16,44.97,N/A,43.06,44.08,44.26,44.23,44.23,TRADEABLE,SHARES
Shares,SOXL,Direxion Daily Semiconductor Bull 3X Shares,115.48,USD,2.14%,N/A,N/A,N/A,N/A,N/A,-7.65%,N/A,-25.71%,110.08%,144.45%,358.07%,145.91%,N/A,48.84,45.82,N/A,48.65,38.93,41.13,41.17,41.17,TRADEABLE,SHARES
Shares,NVDA,NVIDIA Corp,200.46,USD,0.38%,N/A,N/A,N/A,N/A,N/A,2.26%,N/A,1.57%,13.18%,N/A,11.03%,887.00%,13630.14%,63.49,53.12,N/A,63.24,54.01,48.28,48.16,48.15,TRADEABLE,SHARES
Shares,INTC,Intel Corp,90.35,USD,0.63%,N/A,N/A,N/A,N/A,N/A,-0.55%,N/A,-20.26%,85.64%,N/A,364.52%,67.66%,N/A,45.88,47.47,N/A,45.84,37.10,41.59,41.76,41.76,TRADEABLE,SHARES
Shares,AAPL,Apple Inc,307.73,USD,0.23%,N/A,N/A,N/A,N/A,N/A,-8.74%,N/A,9.03%,12.15%,N/A,51.45%,110.40%,1045.25%,37.41,32.46,N/A,37.41,43.10,43.67,43.66,43.66,TRADEABLE,SHARES
Shares,ENI,Eni,23.48,EUR,-1.39%,N/A,N/A,N/A,N/A,N/A,4.82%,N/A,-1.92%,33.79%,43.26%,60.16%,132.48%,75.09%,47.89,60.08,N/A,49.28,69.46,62.66,62.54,62.53,TRADEABLE,SHARES
